id ra dec mag_F160W weight logmass z_phot z_spec
7102 150.08983434089478 2.2504101834001076 25.157928142397342 5 9.409429771580841 3.3148796353284977 3.265
7136 150.10631397306423 2.251556139101503 23.190815010377293 19 11.122848793913361 2.004390198708987 1.850715
7185 150.1058349910046 2.251845286414749 24.37532633540432 1 9.607024421173216 1.9778023344992743 1.85
7549 150.1201095387128 2.2555714513801686 24.337761915444815 22 10.660071062739524 2.620639490583143 2.623
7730 150.12464660017577 2.2579138720735723 25.008684592529047 8 9.458179220117485 3.4834105511052096 3.268
7735 150.1032960493619 2.258488288404916 23.14241368848054 6 10.099384338664718 2.595311425757199 2.44
7904 150.09788362853047 2.259998851378056 24.720736695020204 60 10.837071458907259 3.454870515667489 3.098
7922 150.0982125766454 2.260321946844936 24.77892704282877 23 10.646241945333717 2.922281525367548 3.094424
7934 150.09731355193833 2.2601154900319167 25.010203993459452 4 9.885806963912877 2.905726009309566 3.092
7939 150.1365133608151 2.2605851845234044 26.17510752707016 25 10.339982198987128 2.7138002502877643 2.939162
8002 150.11993381661654 2.261021010099274 23.96632224866431 16 10.479701907294478 2.773018594748978 2.687
8013 150.0888221180019 2.261602240913536 22.249864099563816 10 10.587112863360518 1.7098260914455452 1.688
8280 150.08647222478223 2.2642985066786103 23.433842397985593 8 10.18968140679047 2.9707736285555 2.494
8323 150.09318468759997 2.26423849859333 25.204764587522714 1 9.097999377263204 1.9630760474756712 2.05
8338 150.07943293494208 2.2645195617247027 24.544454272588034 6 9.8801924535461 3.33743654734123 3.268
8465 150.07961760231066 2.2653895881602972 25.672699472818145 1 8.867915549016441 1.7790049717578287 1.807
8469 150.08838894578486 2.2657019770258064 22.720216311034974 7 10.454026131047783 2.026615409947565 1.867
8500 150.08347943776275 2.2660498792432904 24.22900840270926 5 9.994461011915119 1.7886882929795231 1.87
8700 150.09739484287533 2.2684422520913032 22.762417366233155 5 10.09218333435566 2.145807786995485 2.092
8741 150.11892789244843 2.268299484305987 25.19035960024082 5 9.667007292526177 3.309917202281527 3.083
8843 150.1360132899751 2.269084768710904 25.026559690639193 2 9.207615349916148 2.6639383882900036 2.818
8850 150.12246195880965 2.2697805662371353 22.56776751530644 8 10.233803048081038 2.8425945931780534 2.922
8878 150.11994653611177 2.269720239931272 23.93166902253724 4 9.844806623131559 2.6436226589423897 2.936
8888 150.1287290000356 2.269793391011996 24.060013834961836 7 10.122124041384675 3.066662315989762 2.562
9180 150.13569177736517 2.2727139939970713 23.41191133875528 5 10.56119016355342 1.962147931803499 1.603
9268 150.1128613959295 2.2743026453302813 23.82586203646439 26 10.718223988840899 2.8685229899876123 2.62
9395 150.12565610738153 2.2752503032778972 22.62176672540784 14 10.725753636051905 2.1235419311224906 2.127
9517 150.1114760174725 2.2762183276802936 25.141855832852794 1 9.174653044267947 1.9655791554091089 nan
9519 150.13070688467124 2.276313654567972 24.461964588751734 16 10.440966472171063 2.680400727411783 2.81
9809 150.1277165407395 2.279178527695764 25.638885938751304 2 9.729278863882662 3.358016119035908 nan
9871 150.07779813209132 2.2811365627113513 22.28395092239132 33 11.276917458951884 2.077323354980559 2.045
9901 150.13238096736694 2.2803182214701305 25.313986382361552 1 8.87684456725877 2.087803383889334 1.917
9986 150.12877578702816 2.281259345916366 25.70099796497901 6 9.462457815514558 3.313767719548225 3.182
10021 150.08937735797025 2.2822957524046226 23.486057059463047 5 9.884532670453119 1.7684325972019264 1.81
10054 150.09399605565957 2.282290190209527 23.886886470194906 24 10.60882347061089 3.1540582335150966 3.258
10128 150.0925195175295 2.283770073897993 21.904673891343904 18 11.128447441105951 1.9470844735193704 1.851
10245 150.0898142735781 2.284797186164566 22.198204964730333 6 10.336843659130333 1.8176044142990848 1.807
10314 150.0857248201706 2.2851236902027323 22.451032744947653 30 10.967425846178042 2.2601846558204053 2.098
10339 150.09387567776264 2.2847222287814715 23.684073287371284 13 10.393458386034702 2.420696496737256 2.363
10400 150.08503207483614 2.285414259421366 24.051752525789365 4 10.043537176637598 1.9222900828339062 2.098
10415 150.07871292631472 2.2853814438386646 25.43666729551139 1 8.83554297270404 1.7559296244301628 1.655
10565 150.09419977247424 2.2872667191949563 23.284934225720328 23 10.765650256393421 2.4850555274491364 2.443
10592 150.07902911655646 2.2882424729394173 21.72501592381155 19 11.082845619096275 1.7914708859495785 1.8
10600 150.09371855207235 2.2872594044101255 25.211596588974224 2 9.490730557547703 2.520014040053804 2.443
11038 150.11954406245147 2.291914088118515 24.40012423053247 6 10.075279159121997 2.939057554278835 3.002
11051 150.12004911839932 2.2919458175481453 25.25584582862367 3 9.652311781915836 2.9162974861443844 nan
11086 150.12323860798836 2.292361129600024 24.768372049809535 1 9.266236185531492 2.028340748610033 2.142
11136 150.10904796733237 2.2943283842688307 21.892766023181498 10 10.893549543716517 1.9569634754514385 1.862
11137 150.1169262041191 2.2932871158685333 23.586978664374847 3 9.728989071746705 2.067367142695992 2.098
11142 150.07329223924032 2.293290056628315 22.69337407259222 43 11.082554045828557 2.478257077314716 2.445
11337 150.1195189816016 2.2957778189854197 21.513467224247023 49 11.245534570899435 2.3123913196041994 2.095
11420 150.0926179414189 2.2957538115732645 23.862869564049262 4 9.748196853303766 1.7534672957700048 1.762855
11427 150.12117380081142 2.295727299893791 24.75033761812193 2 9.32970910112273 2.2841116492344593 2.142
11451 150.0924107528358 2.295760006853639 25.251337387394955 1 8.825282392851456 1.732570917524379 nan
11481 150.1258402553967 2.2962825971757876 24.52482869988575 2 9.38285697905349 2.1509405383842015 2.005
11494 150.07388314324157 2.297977231147803 20.839275287160863 70 11.631750117804826 2.100689683422991 2.09
11716 150.11119409278797 2.2984170737021734 24.096233804368474 21 10.316281477245251 3.409161868197085 3.483
11723 150.08085524196716 2.2984332064166573 24.191917203211506 3 9.760284351776685 2.0796590390120695 2.047252
11853 150.1122434885415 2.2995383062912587 25.210985106406483 1 9.000513360274642 2.480852211312957 2.549
11894 150.12658275495673 2.3003600231167356 22.892908598190147 12 10.332560263204334 2.736756678997939 2.718457
12014 150.1040470064078 2.3012773260516517 24.58823252856882 5 9.907681427339888 2.4527011850740768 2.413
12020 150.07455403467745 2.3019988830412146 22.044248751016653 60 11.505735871375727 2.1225378179301195 2.093
12133 150.07676747459084 2.30226066398295 25.125210330918335 2 9.268401320806962 2.521134272891794 nan
12148 150.11869789039997 2.3026854661808653 23.146163967037154 10 10.285136408597122 2.5508733099717684 2.46
12164 150.07703770790857 2.303185705989806 23.16813590740184 7 10.052822138526254 2.3144171469651282 2.185
12175 150.1058531239672 2.302719414955333 25.540483226570505 13 9.93402529272127 3.479168151433213 3.489
12202 150.08308537058892 2.3030256713217776 25.088248536686578 3 9.071051761198104 2.650823161030262 2.63
12213 150.10628880784932 2.3031259691743746 25.596450781991546 4 9.756296101507163 2.8562345474223845 2.654
12282 150.08109362319266 2.304019393775545 23.97496273764578 9 10.17765686645334 2.6012522125956576 2.626
12332 150.08162088240977 2.304255589532563 24.68469340792846 33 10.844090155634655 2.821412999734086 2.624726
12340 150.1152061141898 2.3049421028373747 23.855250619057536 4 10.099945579585588 1.8446751113804845 1.925
12443 150.12183674202495 2.30532861177794 24.83394010814405 1 9.011917072942474 1.8185126807073908 1.863
12513 150.0833598449891 2.306181033567639 24.15565121144537 2 9.726962646332876 2.562627425642452 2.683468
12717 150.10998284534224 2.309563192719665 22.353155083369657 12 10.789501871899473 1.7450278894910902 1.764
13103 150.10540565518394 2.312757912801753 23.809628013029368 13 10.967711700907243 1.8322589290179718 2.282
13174 150.1122243852883 2.3139519766874757 23.269553112829556 11 10.924092581254351 1.8413951344628263 2.098
13297 150.11868139562003 2.314454937586877 25.70998642103995 6 9.518173335129607 3.357154539189903 3.487
16419 150.09560987849449 2.350068700469065 21.092844821334502 53 11.462091290524182 2.102192906583932 1.926
16424 150.1101583934326 2.346669586114658 23.942241003234503 17 10.227400611555714 3.390518408445281 3.520687
16474 150.11343833916197 2.3474745865071815 23.54920722966591 3 9.837901983027878 2.5244138771141094 2.55
16516 150.11533773478388 2.347698518052218 24.73644681741458 3 9.835761227538331 2.728772481361164 2.817
16615 150.1037259277942 2.3485930147531473 25.266127222673877 2 9.208214679793297 2.196671026524702 3.001881
16874 150.09829123652534 2.3515716804864133 22.927171409180353 12 10.447347060820114 2.1962415580994485 2.1
